2021-09-17 10:06:36;62.97;161.99$;-4.12
2021-09-17 10:38:25;63.99;164.61$;2.62
2021-09-17 11:20:32;63.32;162.89$;-1.72
2021-09-17 15:32:39;64.41;165.69$;2.8
2021-09-17 19:19:31;65.82;169.32$;3.63
2021-09-17 19:39:26;65.68;168.96$;-0.36
2021-09-17 23:39:56;65.86;169.42$;0.46
2021-09-18 02:30:43;71.34;183.52$;14.1
2021-09-18 04:05:47;72.87;187.45$;3.94
2021-09-18 08:41:31;74.12;190.67$;3.22
2021-09-18 10:48:04;73.19;188.28$;-2.39
2021-09-18 13:11:12;71.42;183.72$;-4.55
2021-09-18 13:17:51;71.08;182.85$;-0.87
2021-09-18 13:38:38;71.2;183.16$;0.31
2021-09-18 15:00:52;71.84;184.8$;1.65
2021-09-18 15:01:24;71.84;184.8$;0
2021-09-18 15:02:23;71.83;184.78$;-0.03
2021-09-18 19:17:05;69.91;179.84$;-4.94
2021-09-18 19:21:53;69.83;179.63$;-0.21
2021-09-19 03:07:15;67.23;172.94$;-6.69
2021-09-19 04:21:03;70.45;181.23$;8.28
2021-09-19 05:39:29;69.58;178.99$;-2.24
2021-09-19 06:55:21;69.72;179.35$;0.36
2021-09-19 21:31:45;73.09;188.02$;8.67
2021-09-20 03:33:49;68.22;175.49$;-12.53
2021-09-20 06:40:56;65.49;168.47$;-7.02
2021-09-20 08:28:55;65.6;168.75$;0.28
2021-09-20 12:11:34;63.32;162.89$;-5.87
2021-09-20 12:49:19;63.46;163.25$;0.36
2021-09-20 15:30:19;60.86;156.56$;-6.69
2021-09-20 19:12:00;62.17;159.93$;3.37
2021-09-20 19:30:51;61.84;159.08$;-0.85
2021-09-20 22:52:43;59.34;152.65$;-6.43
2021-09-21 06:46:01;56.53;145.42$;-7.23
2021-09-21 06:52:41;56.42;145.14$;-0.28
2021-09-21 15:12:05;62.9;161.81$;16.67
2021-09-21 15:29:47;63.7;163.86$;2.06
2021-09-21 16:08:45;64.19;165.12$;1.26
2021-09-21 21:37:10;62.38;160.47$;-4.66
2021-09-22 07:03:53;62.05;159.62$;-0.85
2021-09-22 10:19:03;64.13;164.97$;5.35
2021-09-22 12:41:31;63.51;163.37$;-1.59
2021-09-22 15:59:51;62.52;160.83$;-2.55
2021-09-23 00:26:49;70.69;181.84$;21.02
2021-09-23 09:04:18;78.57;202.12$;20.27
2021-09-23 10:29:45;78.82;202.76$;0.64
2021-09-23 12:41:16;75.53;194.3$;-8.46
2021-09-23 13:41:35;75.23;193.52$;-0.77
2021-09-23 15:02:35;76.71;197.33$;3.81
2021-09-23 15:32:19;76.65;197.18$;-0.15
2021-09-23 16:28:24;76.72;197.36$;0.18
2021-09-23 18:59:41;73.52;189.12$;-8.23
2021-09-23 19:50:29;76;195.5$;6.38
2021-09-23 20:46:22;75.17;193.37$;-2.14
2021-09-24 00:03:09;76.76;197.46$;4.09
2021-09-24 07:27:36;72.55;186.63$;-10.83
2021-09-24 15:22:27;69.73;179.38$;-7.25
2021-09-24 15:51:24;71.85;184.83$;5.45
2021-09-24 21:57:37;71.53;184.01$;-0.82
2021-09-25 01:44:06;73.4;188.82$;4.81
2021-09-25 07:47:18;71.26;183.31$;-5.51
2021-09-25 08:29:19;71.41;183.7$;0.39
2021-09-25 10:20:57;69.81;179.58$;-4.12
2021-09-25 11:07:30;70.82;182.18$;2.6
2021-09-25 13:35:12;70.45;181.23$;-0.95
2021-09-25 15:19:32;71.54;184.03$;2.8
2021-09-26 00:47:12;69.11;177.78$;-6.25
2021-09-26 04:18:15;64.82;166.74$;-11.04
2021-09-26 09:28:55;64.61;166.2$;-0.54
2021-09-26 11:14:04;64.64;166.28$;0.08
2021-09-26 14:12:44;67.69;174.13$;7.85
2021-09-26 21:38:02;68.57;176.39$;2.26
2021-09-26 22:35:21;68.79;176.96$;0.57
2021-09-27 01:32:15;67.03;172.43$;-4.53
2021-09-27 05:35:27;68.61;176.49$;4.06
2021-09-27 08:27:55;69.89;179.79$;3.29
2021-09-27 09:39:55;68.59;176.44$;-3.34
2021-09-27 12:35:04;69.6;179.04$;2.6
2021-09-27 21:52:18;68.94;177.34$;-1.7
2021-09-27 23:51:51;67.89;174.64$;-2.7
2021-09-28 03:25:02;66.87;172.02$;-2.62
2021-09-28 06:20:38;69.24;178.11$;6.1
2021-09-28 12:44:34;66.24;170.4$;-7.72
2021-09-28 19:21:40;62.72;161.34$;-9.05
2021-09-28 23:55:19;64.2;165.15$;3.81
2021-09-29 09:15:58;65.91;169.55$;4.4
2021-09-29 09:36:51;66.12;170.09$;0.54
2021-09-29 10:14:47;65.86;169.42$;-0.67
2021-09-29 14:01:56;65.28;167.93$;-1.49
2021-09-29 20:42:17;63.78;164.07$;-3.86
2021-09-30 02:56:05;66.87;172.02$;7.95
2021-09-30 03:06:17;67.16;172.76$;0.75
2021-09-30 04:35:52;67.9;174.67$;1.9
2021-10-01 04:58:55;65.16;167.62$;-7.05
2021-10-01 07:56:26;64.67;166.36$;-1.26
2021-10-01 09:50:57;65.48;168.44$;2.08
2021-10-01 22:57:44;68.01;174.95$;6.51
2021-10-02 09:32:01;67.07;172.53$;-2.42
2021-10-02 12:31:08;66.97;172.28$;-0.26
2021-10-02 12:55:48;66.79;171.81$;-0.46
2021-10-02 23:17:56;71.78;184.65$;12.84
2021-10-03 02:05:57;69.59;179.02$;-5.63
2021-10-03 04:50:36;70.35;180.97$;1.96
2021-10-03 09:56:22;70.32;180.89$;-0.08
2021-10-03 10:34:43;70.7;181.87$;0.98
2021-10-03 12:09:50;69.74;179.4$;-2.47
2021-10-04 00:19:23;68.75;176.85$;-2.55
2021-10-04 10:10:14;67.35;173.25$;-3.6
2021-10-04 13:56:35;66.12;170.09$;-3.16
2021-10-04 17:45:48;65.42;168.29$;-1.8
2021-10-04 19:24:04;66.03;169.86$;1.57
2021-10-04 23:59:42;65.33;168.06$;-1.8
2021-10-05 08:16:31;65.54;168.6$;0.54
2021-10-05 09:05:21;65.65;168.88$;0.28
2021-10-05 10:27:23;65.79;169.24$;0.36
